"country","continent","year","lifeExp","gdpPercap","gdpBillions","popThous"
"Yemen, Rep.","Asia",1987,53,1972,22.1,11219
"Yemen, Rep.","Asia",1992,56,1879,25.1,13368
"Yemen, Rep.","Asia",1997,58,2117,33.5,15826
"Yemen, Rep.","Asia",2002,60,2235,41.8,18701
"Yemen, Rep.","Asia",2007,63,2281,50.7,22212
"Zambia","Africa",1972,50,1773,8,4506
"Zambia","Africa",1977,51,1589,8.3,5217
"Zambia","Africa",1982,52,1409,8.6,6100
"Zambia","Africa",1987,51,1213,8.8,7272
"Zambia","Africa",1992,46,1211,10.1,8381
"Zambia","Africa",1997,40,1071,10.1,9418
"Zambia","Africa",2002,39,1072,11.4,10596
"Zambia","Africa",2007,42,1271,14.9,11746
"Zimbabwe","Africa",1972,56,799,4.7,5861
"Zimbabwe","Africa",1977,58,686,4.6,6642
"Zimbabwe","Africa",1982,60,789,6,7637
"Zimbabwe","Africa",1987,62,706,6.5,9216
"Zimbabwe","Africa",1992,60,693,7.4,10704
"Zimbabwe","Africa",1997,47,792,9,11405
"Zimbabwe","Africa",2002,40,672,8,11927
"Zimbabwe","Africa",2007,43,470,5.8,12311
